Editora
EDIOURO
GAIA
LEITURA
RHJ
DEMÓCRITO ROCHA
L&PM
GLOBAL
DIMENSÃO
ATUAL
PRUMO
NOVA ALEXANDRIA
MELHORAMENTOS
DCL
BIRUTA
UNO EDUCAÇÃO
WMF MARTINS FONTES
LÊ
IBEP
DUBOLSINHO
MARTINS FONTES
EDITORA 34
MAZZA EDIÇÕES
GLOBO LIVROS
BRINQUE-BOOK
LAROUSSE JÚNIOR
SINGULAR
AUTÊNTICA
ELEMENTAR
SCIPIONE
RECORD
DEVIR
COSACNAIFY
EDIÇÕES SM
GERAÇÃO EDITORIAL
PIXEL
CIVILIZAÇÃO BRASILEIRA
CORTEZ
MERCURYO JOVEM
GRAPHIA
MANATI
ALIS
ZAHAR
OBJETVA
FRENTE
CIA EDITORA NACIONAL
PROJETO
GLOBO
ABRIL JOVEM
HEDRA
ESCRITURAS
ILUMINURAS
PAULUS
NOVA FRONTEIRA
SARAIVA
PAULINAS
CIA DAS LETRINHAS
MERCADO EM LETRAS
ÁTICA
FTD
MERCADO DE LETRAS
PAPIRUS
MEDIAÇÃO
ARTMED
FAPI
MÓDULO
MODERNA
PHORTE
CONTEXTO
BASE EDITORIAL
ARGUMENTO
AYMARÁ
PEIRÓPOLIS
CÍRCULO DO LIVRO
ABRIL
JB
PANDA BOOKS
EDITORA DO BRASIL
SALAMANDRA
CALLIS
CUCA FRESCA
CIRANDA CULTURAL
ROVELLE
VIA LITTERARUM
PARÁBOLA EDITORIAL
A PÁGINA
COMBOIO DE CORDA
NOVO CONTINENTE
BEST SELLER
AQUARIANA
ARTES E OFÍCIOS
CIA DAS LETRAS
ESCRITA FINA
PALLAS
BOA VIAGEM
EDIGRAF
GALERA RECORD
IN PACTO
JOSÉ OLYMPIO
RICHMOND EDUCAÇÃO
OBJETIVA
UNO
GIRAFINHA
INTRÍNSECA
FAROL LITERÁRIO
NOVO CONCEITO
JPA
GIZ EDITORIAL
EDELBRA
LAFONTE
DIBRA
UDP
DUNA DUETO
NANKIN
COMPANHIA DAS LETRAS 
FRASE E EFEITO
PANINI BOOKS
LP&M
SM
COSAC NAIFY
ESCALA INTEGRADA
POSITIVO
ROCCO JOVENS LEITORES
CLARO ENIGMA
MUNDO MIRIM
ABACATTE
STUDIO NOBEL
ESCALA EDITORIAL
SOCIEDADE LITERÁRIA
BERLENDIS & VERTECCHIA
NOVA DIDÁTICA
EVOLUIR
CARAMELO
NOVA ESPIRAL
PAPIRUS 7 MARES
CIA DA LETRAS
FAROL 
FRENTE EDITORA
N. AZZI
LGE
MANOLE
KELPS
CASA LYGIA BOJUNGA
NOOVHA AMERICA
IBGE
ABRIL EDUCAÇÃO
PLANETA
CÓDICE
FUND. JOAQUIM NABUCO/MASSANGANA
CONSULTOR
MEC
PMSP
CEERT
SME-SP
FUNDAÇÃO ABRINQ
MECENAS
COMPANHIA DAS LETRINHAS 
COMPANHIA EDITORA NACIONAL
PRESTÍGIO
MARTIN CLARET
HC PUBLICIDADE
OTTONI 
THEX
CELD
ESCALA
FUNDAMENTO
PUBLIFOLHINHA
LEYA
ALEGRIA
CHAMPAGNAT
BASE SISTEMA EDUCACIONAL
ANGLO
BERLENDIS E VERTECHIA
GUTENBERG
MARCELO DUARTE COMUNICAÇÕES
PANINI
BERLENDIS EVERTECCHIA EDITORES
WMFMARTINSFONTES
CIA.ARTICULARTE
AFILIADA
CASA DA PALAVRA
GALERINHA
FRASE&EFEITO
ZASTRAS
RICHMOND 
FAROL
POSIGRAF
NOOVHA AMÉRICA
NOVA CONCEITO
UNESP
TERCEIRO NOME
EDITORIAL 25
EDITORA ELEMENTAR
ATUAL EDITORA
PULO DO GATO
QUINTETO EDITORIAL
EDITORA SCIPIONE
GLOBAL EDITORA
EDITORA                                                                                                                                                                                                                                                                                                                                                                                                                DE CULTURA
ISTO É
ARARA AZUL
GIRASSOL
FORMATO
BRASILIENSE
JOSÉ OLIMPYO EDITORA
 EDITORA SCIPIONE
ROCCO PEQUENOS LEITORES
ZIT EDITORA
VERGARA & RIBAS
ROCCO
TINTA NEGRA
EDITORA MIGALHAS
EDITORA CONTEXTO
EDITORA MEDIAÇÃO
MIGALHAS
CENGAGE LEARNING
YENDIS
DUNA DUET
PUBLIFOLHA
BERLENDIS & VERTECHIA
LANDY EDITORA
CIA. DAS LETRAS
EDIÇÕES BESTBOLSO
ALFAGUARA
BERTRAND BRASIL
EDITORA GLOBAL
""
FONTANAR
AO LIVRO TÉCNICO
BEI
GLOBINHO
PULO DE GATO
EDITORA GLOBO
 MUNDO MIRIM
IBRASA
QUILOMBHOJE
EDITORA NEMO
CORTEZ EDITORA
EDITORA  34
ARTE E OFÍCIOS
L & PM EDITORES
EDITORA SARAIVA
EDIÇÕES DUBOLSINHO
EDITORA ILUMINURAS
EDITORAR ILUMINURIAS
EDITORA MELHORAMENTOS
MAZZA EDIÇÕES LTDA
JABOTICABA
EDITORA ROVELLE
RAI EDITORA
EDITORA RECORD
PRINCIPIO EDITORA
UNI DUNI EDITORA
PONTO DE VISTA DE LEITURA
L&PM EDITORES
PAZ E TERRA
ARTES E OFICIOS
PAULLUS
EDITORA REVAN
EDITORA NOOVHA AMÉRICA
EDITORA ARX
EVOLUIR CULTULRAL
JABOTICABAL
VIA LETTERA
JACARANDÁ
BALÃO EDITORIAL
MARCO ZERO
MOITARÁ
DUBLINENSE
PIÁ
VERUS
BESOURO BOX
KOMEDI
AGIR
CONRAD
GAUDÍ EDITORIAL
FDT
MIGUILIN
DCI
GLOBO KIDS
UNIVERSO LIVRO
EDITORA AUTORES ASSOCIADOS
EDITORA UDP
CATA-SONHO
VIDA MELHOR
AMARILYS
GAIVOTA
HEDRA EDUCAÇÃO
GUIA DOS CURIOSOS COMUNICAÇÕES
GALERINHA RECORD
INSTITUTO VLADIMIR HERZOG
IMPRENSA OFICIAL DO ESTADO
BLUCHER
RONA
FINO TRAÇO
IBPEX
MATHEMA
ANZOL
PARÁBOLA
CÂNONE
PONTES
MERCADO DAS LETRAS
TELOS
NOVO SÉCULO
GUTEMBERG
NÃO EDITORA
YGARAPÉ
PAVIO
JOGO DE AMARELINHA
SEED EDITORIAL
MIRABOLANTE
THEX EDITORA
ARVOREDO
LIVROS DA MATRIZ
CASA AMARELINHA
PEQUENA ZAHAR
ALETRIA
STÚDIO NOBEL
ÔZÉ
LIVRE
JOSE OLYMPIO
WMF
WMF 
MUSEU LASAR SEGALL
BRASIL
ARQUEIRO
COMPANHIA DE BOLSO
SEGUINTE
RIDEEL
QUADRINHOS NA CIA.
HYRIA
BIBLIOTECA AZUL
IMEPH
SABER E LER
ESCARLATE
VENETA
CHIRIMBOTE
L&PM POCKET
ATELIÊ EDITORIAL
LIVROS ILIMITADOS
EDITORA FTD
EDITORA ÁTICA
BOA COMPANHIA
DARKSIDE
SESI-SP EDITORA
EDITORA DE CULTURA
VOLTA E MEIA
MATRIX
LE
BAOBÁ
JUJUBA
GERAÇÃO
BARBATANA
KAPULANA
PIU
QUATRO CANTOS
BOITEMPO
CASA DE LETRAS
C/ ARTE
TRIOLECA
CEREJA EDITORA
COMPOR
