Tombo,Registro,Autor,Título,Procedencia,Exemplar,Coleção,Edição,Ano,Volume,Editora,Categorias,aquisicao
,21505,"BASCH, Adela",NÃO ERA UMA VEZ...,SME,1,-,-,2011,-,MELHORAMENTOS,Lit. Infantojuvenil-Contos,T
,21506,"QUEIRÓS, Bartolomeu Campos de",VERMELHO AMARGO,SME,1,-,-,2011,-,COSAC NAIFY,Lit. Infantojuvenil-Literatura brasileira,T
,21507,"RIBÓN, Marta",DESCOBRNDO O MUNDO ÁFRICA,SME,1,-,-,2008,-,CIRANDA CULTURAL,Lit. Infantojuvenil-Atividades,T
,21508,"YUNES, Virginia Maria e LEITE, Maria Isabel",CARTAS ENTRE MARIAS UMA VIAGEM À GUINÉ-BISSAU,SME,1,-,-,2009,-,EVOLUIR CULTULRAL,Lit. Infantojuvenil,T
,21509,"LODY, Raul",SEIS PEQUENOS CONTOS AFRICANOS SOBRE A CRIAÇÃO DO MUNDO E DO HOMEM,SME,1,-,-,2007,-,PALLAS,Lit. Infantojuvenil-Contos africanos,T
,21510,"MIRANDA, Eraldo",O NASCIMENTO DOS ANDES E OUTRAS LENDAS PRÉ-COLOMBIANAS,SME,1,-,-,2010,-,MUNDO MIRIM,Lit. Infantojuvenil-Lendas,T
,21511,"BARBOSA, Rogério Andrade",NDULE NDULE ASSIM BRINCAM AS CRIANÇAS AFRICANAS,SME,1,-,-,2011,-,MELHORAMENTOS,Lit. Infantojuvenil-Cultura africana,T
,21512,"GUARÁ,Roni Wasiry",MONDAGARÁ TRAIÇÃO DOS ENCANTADOS,SME,1,-,-,2011,-,FORMATO,Lit. Infantojuvenil-Ficção indígena,T
,21513,"LIMA, Heloísa Pires e ANDRADE, Rosa Maria Tavares",LENDAS DA ÁFRICA MODERNA,SME,1,-,-,2010,-,EDITORA ELEMENTAR,Lit. Infantojuvenil-Lendas africanas,T
,21514,"BOAS, Marion Villas","MULA SEM CABEÇA , A",SME,1,Estórias de arrepiar,-,2011,-,EDITORA ROVELLE,Lit. Infantojuvenil-Cordel,T
,21515,"BOAS, Marion Villas","ESQUELETO , O",SME,1,Estórias de arrepiar,-,2011,-,EDITORA ROVELLE,Lit. Infantojuvenil-Cordel,T
,21516,"BOAS, Marion Villas",ENCONTRO NA ESTRADA,SME,1,Estórias de arrepiar,-,2011,-,EDITORA ROVELLE,Lit. Infantojuvenil-Cordel,T
,21517,"BOAS, Marion Villas",QUIBUNGO,SME,1,Estórias de arrepiar,-,2011,-,EDITORA ROVELLE,Lit. Infantojuvenil-Cordel,T
,21518,"BOAS, Marion Villas",PRETO VELHO DO SURRÃO,SME,1,Estórias de arrepiar,-,2011,-,EDITORA ROVELLE,Lit. Infantojuvenil-Cordel,T
,21519,"BOAS, Marion Villas","LOBISOMEM, O",SME,1,Estórias de arrepiar,-,2011,-,EDITORA ROVELLE,Lit. Infantojuvenil-Cordel,T
,21520,"BOAS, Marion Villas",ESTÓRIAS DE ARREPIAR À MODA DA LITERATURA DE CORDEL,SME,1,Estórias de arrepiar,-,2011,-,EDITORA ROVELLE,Lit. Infantojuvenil-Cordel,T
,21521,"LIMA, Heloísa Pires","SEMENTE QUE VEIO DA ÁFRICA, A",SME,20,-,-,2005,-,SALAMANDRA,Lit. Infantojuvenil - Contos africanos,T
,21522,"AMADO, Jorge",CAPITÃES DA AREIA,doação,1,-,-,2008,-,CIA DAS LETRAS,Romance Brasileiro,T
,21523,"CAVALCANTI, Lailson de Holanda",TRISTE FIM DE POLICARPO QUARESMA,PNBE,1,-,-,2008,-,IBEP,Clássicos - HQ,T
,21524,"GONICK, Larry","HISTÓRIA DO MUNDO EM QUADRINHOS, A: A EUROPA MEDIEVAL E OS INVADORS DO ORIENTE",PNBE,1,História do Mundo em Quadrinhos,-,2004,-,JABOTICABAL,História - HQ,T
,21525,"MOON, Fábio e BÁ, Gabriel","MEU CORAÇÃO, NÃO SEI POR QUÊ.",PNBE,1,-,2,2007,-,VIA LETTERA,HQ,T
,21526,"FURSE, Sophie",MOBY DICK: HERMAN MELVILLE,PNBE,1,Quadrinhos Nacional,-,2008,-,CIA EDITORA NACIONAL,Clássicos - HQ,T
,21527,"GOSCINNNY, René e UDERZO, A.",ASTERIX E A VOLTA ÀS AULAS,PNBE,1,Asterix,-,2007,-,RECORD,HQ,T
,21528,"BRANCO, Arnaldo e GÓES, Gabriel",BEIJO NO ASFALTO,PNBE,1,-,-,2007,-,NOVA FRONTEIRA,Clássicos - HQ,T
,21529,LAERTE,"SURIÁ, A GAROTA DO CIRCO",PNBE,1,-,-,2000,-,JACARANDÁ,HQ,T
,21530,"STANLEY, John e  TRIPP, Irving",LULUZINHA VIA ÀS COMPRAS,PNBE,1,Luluzinha,-,2006,-,DEVIR,HQ,T
,21531,"GONSALES, Fernando",NÍQUEL NÁUSEA: TÉDIO NO CHIQUEIRO,PNBE,1,Níquel Náusea,-,2006,-,DEVIR,HQ,T
,21532,"BADOE, Adwoa e DIAKITÉ, Baba Wagué",HISTÓRIAS DE ANANSE,PNBE,1,Cantos do Mundo,-,2006,-,EDIÇÕES SM,Contos folclóricos africanos,T
,21533,"COWELL, Cressida",COMO NAVEGAR EM UMA TEMPESTADE DE DRAGÃO,doação,1,Como treinar o seu dragão,-,2011,7,INTRÍNSECA,Lit. Infantojuvenil,T
,21534,"COWELL, Cressida",COMO PARTIR O CORAÇÃO DE UM DRAGÃO,doação,1,Como treinar o seu dragão,-,2012,8,INTRÍNSECA,Lit. Infantojuvenil,T
,21535,"BRENMAN, Ilan","NARRATIVAS PREFERIDAS DE UM CONTADOR DE HISTÓRIAS, AS",PNBE,1,-,-,2007,-,DCL,Lit. Infantojuvenil - Contos,T
2014-08-07,21536,"RIBEIRO, Estevão","PASSARINHOS E OUTROS BICHOS, OS",PNBE,1,-,-,2011,-,BALÃO EDITORIAL,HQ,T
2014-08-07,21537,"WILDE, Oscar; WILSON, Sean Michael [adap.]","FANTASMA DE CANTERVILLE, O",PNBE,1,Quadrinhos Nacional,-,2012,-,CIA EDITORA NACIONAL,HQ,T
2014-08-07,21538,"MIR, Alex",ORIXÁS DO ORUM AO AYÊ,PNBE,1,-,-,2011,-,MARCO ZERO,HQ,T
2014-08-07,21539,"MELVILLE, Herman e DABLI, Fouca [adap.]",MOBY DICK,PNBE,1,-,-,2012,-,MOITARÁ,Lit. Infantojuvenil - Clássicos,T
2014-08-07,21540,"BARROS, Manoel de",MENINO DO MATO,PNBE,1,-,-,2010,-,LEYA,Poesia Brasileira,T
2014-08-07,21541,"CASTRO, José de",POETRIX,PNBE,1,-,-,2012,-,DIMENSÃO,Poesia Brasileira,T
2014-08-07,21542,"MENDES, Israel",MENINO PERPLEXO,PNBE,1,-,-,2010,-,DUBLINENSE,Poesia Brasileira,T
2014-08-07,21543,"BAGNO, Marcos",TEMPO ESCAPOU DO RELÓGIO E OUTROS POEMAS,PNBE,1,-,-,2012,-,PIÁ,Poesia Brasileira,T
2014-08-07,21544,"RITER, Caio","FILHA DAS SOMBRAS, A",PNBE,1,-,-,2012,-,EDELBRA,Lit. Infantojuvenil - Fantasia,T
2014-08-07,21545,"GRANT, Helen","DESAPARECIMENTO DE KATHARINA LINDEN, O",PNBE,1,-,2,2012,-,BERTRAND BRASIL,Lit. Infantojuvenil - Mistério,T
2014-08-07,21546,"FUNKE, Cornelia","SENHOR DOS LADRÕES, O",PNBE,1,-,-,2012,-,A PÁGINA,Lit. Infantojuvenil - Aventura,T
2014-08-07,21547,"MOULTON, Erin E.","JORNADA, A: a história de quatro irmãs e uma viagem inacreditável",PNBE,1,-,-,2011,-,NOVO CONCEITO,Lit. Infantojuvenil - Fantasia,T
2014-08-07,21548,"GANEM, Eliane","CASO DO ELEFANTE DOURADO, O",PNBE,1,-,-,2012,-,VERUS,Lit. Infantojuvenil - Mistério,T
2014-08-07,21549,"CANTO, Márcia","MUNDO DE CAMILA, O",PNBE,1,-,-,2011,-,PROJETO,Novela Infantojuvenil,T
2014-08-07,21550,"RIOS, Rosana ",PÃO FEITO EM CASA,PNBE,1,-,-,2012,-,BESOURO BOX,Novela Infantojuvenil,T
2014-08-07,21551,"TORRÈS, Dominique",VOCÊ É LIVRE!,PNBE,1,-,-,2012,-,AUTÊNTICA,Lit. Infantojuvenil - Aventura,T
2014-08-07,21552,"HUE, Sheila","LIVRO NEGRO DE THOMAS KYD, O",PNBE,1,-,-,2011,-,FTD,Lit. Infantojuvenil - Aventura,T
,21553,"DIAFÉRIA, Lourenço","IMITADOR DE GATO e outras crônicas, O",SME,8,Para gostar de ler,2,2011,30,ÁTICA,Crônica Brasileira,T
,21554,"CORALINA, Cora",MEU LIVRO DE CORDEL,SME,17,Obras de Cora Coralina,11,2002,-,GLOBAL EDITORA,Poesia Brasileira,T
,21555,"MACHADO, Ana Maria",PROCURA-SE LOBO,SME,11,Abrindo caminho,2,2010,-,ÁTICA,Lit. Infantojuvenil - Autores,T
,21556,"SCIESZKA, Jon e JOHNSON, Steve","SAPO QUE VIROU PRÍNCIPE - continuação, O",SME,10,-,-,2010,-,CIA DAS LETRINHAS,Lit. Infantojuvenil,T
,21557,"VALE, Sérgio",PLANETA ÁGUA,SME,1,-,-,2010,-,KOMEDI,Lit. Infantojuvenil - Ciências,T
,21558,"FRATE, Dilea",FÁBULAS TORTAS,SME,10,-,-,2007,-,CIA DAS LETRINHAS,Lit. Infantojuvenil - Fábulas,T
,21559,"SUASSUNA, Ariano",AUTO DA COMPADECIDA,SME,10,-,35,2005,-,AGIR,Teatro,T
,21560,"BANDEIRA, Manuel","MENINAS E O POETA, AS",SME,10,-,-,2008,-,NOVA FRONTEIRA,Poesia Brasileira,T
,21561,"BANDEIRA, Manuel", 50 POEMAS ESCOLHIDOS PELO AUTOR (Livro + CD),SME,8,-,-,2006,-,COSAC NAIFY,Poesia Brasileira,T
,21562,"COLASANTI, Marina","MOÇA TECELÃ, A",SME,11,Marina Colasanti,-,2004,-,GLOBAL EDITORA,Contos Brasileiros,T
,21563,"RYLANT, Cyntia","VELHINHA QUE DAVA NOME ÀS COISAS, A",SME,11,-,-,1997,-,BRINQUE-BOOK,Lit. Infantojuvenil - Sentimentos,T
,21564,"BELINKY, Tatiana",BREGALIQUES,SME,11,No mundo da imaginação,3,2002,-,PAULUS,Lit. Infantojuvenil-Poesia,T
,21565,"GRIMM, Jacob",CONTOS DE GRIMM: A bela adormecida e outras histórias - vol. 1,SME,10,L&PM Pocket,-,2011,254,L&PM,Lit. Infantojuvenil,T
,21566,"FURNARI, Eva",FELPO FILVA,SME,10,Girassol,-,2006,-,MODERNA,Lit. Infantojuvenil,T
,21567,"PAES, JOSÉ PAULO",OLHA O BICHO,SME,8,Poesia para crianças,11,2011,-,ÁTICA,Lit. Infantojuvenil-Poesia,T
,21568,"PAES, JOSÉ PAULO (Sel.)",RI MELHOR QUEM RI PRIMEIRO: poemas para crianças (e adultos inteligentes),SME,12,-,-,2010,-,CIA DAS LETRINHAS,Lit. Infantojuvenil-Poesia,T
,21569,"BELINKY, Tatiana",DESASTRELIQUES,SME,8,-,6,2010,-,JOSÉ OLYMPIO,Lit. Infantojuvenil-Poesia,T
,21570,"ORTHOF, Sylvia",PONTO DE TECER,SME,11,-,-,2010,-,FTD,Lit. Infantojuvenil-Poesia,T
,21571,"COWELL, Cressida",COMO QUEBRAR A MALDIÇÃO DE UM DRAGÃO,SME,1,-,-,2010,4,INTRÍNSECA,Lit. Infantojuvenil,T
,21572,"WATTERSON, Bill",TEM ALGUMA COISA BABANDO EMBAIXO DA CAMA: As aventuras de Calvin e Haroldo,SME,5,Aventuras de Calvin e Haroldo,2,2010,-,CONRAD,HQ,T
,21573,"DUARTE, Marcelo","GUIA DOS CURIOSOS, O",SME,6,-,3,2005,-,PANDA BOOKS,Assuntos Gerais - Curiosidades,T
,21574,"LIMA, Edy","VACA NA SELVA, A",PNBE,1,-,11,2008,-,GAUDÍ EDITORIAL,Lit. Infantojuvenil,T
,21575,"CUNHA, Leo",NINGUÉM ME ENTENDE EM CASA,PNBE,1,-,-,2011,-,FDT,Crônica Brasileira,T
,21576,"RAMOS, Ricardo",DESCULPE A NOSSA FALHA,PNBE,1,-,-,2013,-,ANGLO,Lit. Infantojuvenil,T
,21577,"OLIVEIRA, Martín Bonfil ",CHARLES DARWIN: O SEGREDO DA EVOLUÇÃO,PNBE,1,-,-,2012,-,MIGUILIN,Lit. Infantojuvenil - Ciências,T
,21578,"GOSCINNNY, René e SEMPÉ, Jean-Jacques","VOLTA ÀS AULAS DO PEQUENO NICOLAU, A",PNBE,1,Histórias Inéditas do Pequeno Nicolau,-,2010,-,ROCCO JOVENS LEITORES,Lit. Infantojuvenil,T
,21579,"SEMPÉ, Jean-Jacques",RAUL TABURIN,PNBE,1,-,2,2012,-,COSAC NAIFY,Lit. Infantojuvenil,T
,21580,"LIAO, Jimmy","À ESQUERDA, À DIREITA",PNBE,1,-,-,2012,-,MOITARÁ,Lit. Infantojuvenil - Sentimentos,T
,21581,"MOTT, Odete de Barros","JUSTINO, O RETIRANTE",PNBE,1,Entre Linhas - Sociedade,-,2012,-,SARAIVA,Lit. Infantojuvenil - Sociedade,T
,21582,"REY, Marcos","MISTÉRIO DAS CINCO ESTRELAS, O",PNBE,1,-,22,2011,-,GAUDÍ EDITORIAL,Lit. Infantojuvenil - Mistério,T
,21583,TACUS (Dionísio Jacob),"CRIAÇÃO DAS CRIATURAS, A",PNBE,1,-,-,2012,-,EDIÇÕES SM,Lit. Infantojuvenil - Fantasia,T
,21584,"MAFFEI, Marcos (org.)",LIVRO DOS DRAGÕES,PNBE,1,-,-,2012,-,HEDRA,Lit. Infantojuvenil - Fantasia,T
,21585,"CANTON, Katia",ERA UMA VEZ ESOPO,PNBE,1,-,-,2006,-,DCI,Lit. Infantojuvenil - Contos,T
,21586,"VIANA, Maria (org.)",HISTÓRIAS DE BICHOS,PNBE,1,Para gostar de ler,-,2013,45,ÁTICA,Lit. Infantojuvenil - Contos,T
,21587,"ARAÚJO, Jorge ",COMANDANTE HUSSI,PNBE,1,Coleção Infantojuvenil,2,2009,-,EDITORA 34,Lit. Infantojuvenil - África,T
,21588,"CARROLL, Lewis",AVENTURAS DE ALICE NO SUBTERRÂNEO,PNBE,1,-,-,2013,-,ABRIL EDUCAÇÃO,Lit. Infantojuvenil - Clássicos,T
,21589,"NEIVA, Lia","GATA DO RIO NILO, A",PNBE,1,-,-,2011,-,GLOBO,Lit. Infantojuvenil - História,T
,21590,"SILVEIRA, Maria José","TRÁGICA ESCOLHA DE LUPICÍNIO JOÃO, A",PNBE,1,Diálogo,-,2013,-,SCIPIONE,Lit. Infantojuvenil - Fantasia,T
,21591,"MARINHO, João Carlos","GÊNIO DO CRIME: uma aventura da Turma do Gordo, O",PNBE,1,-,60,2009,-,GLOBAL EDITORA,Lit. Infantojuvenil - Mistério,T
,21592,"BERGALLO, Laura",JOGO DA MEMÓRIA,PNBE,1,-,-,2010,-,ESCRITA FINA,Lit. Infantojuvenil - Sentimentos,T
,21593,"MONTORO, Suzana",NEM EU NEM OUTRO,PNBE,1,-,-,2011,-,MOITARÁ,Lit. Infantojuvenil - Sentimentos,T
,21594,"DONKIN, Andrew",WILLIAM SHAKESPEARE E SEUS ATOS DRAMÁTICOS,PNBE,1,Mortos de Fama,-,2013,-,CLARO ENIGMA,Lit. Infantojuvenil - Biografia,T
,21595,"TAHAN, Malba (Souza, Júlio César de Melo e)",LENDAS DO DESERTO,PNBE,1,-,-,2012,-,RECORD,Conto brasileiro,T
,21596,"WILDE, Oscar","FANTASMA DE CANTERVILLE, O",PNBE,1,-,-,2011,-,CASA DA PALAVRA,Literatura Inglesa - Novela,T
,21597,"OSÓRIO, Ramiro S.",TODOS OS CONTOS DO LÁPIS SURDO,PNBE,1,Coleção Contos no Ponto,-,2010,-,PAULINAS,Lit. Infantojuvenil - Contos,T
,21598,"PAULO, Eloésio",PARQUE DE IMPRESSÕES,PNBE,1,-,-,2010,-,DUBOLSINHO,Lit. Infantojuvenil-Poesia,T
,21599,"JUNQUEIRA, Sonia",NO LUGAR DO CORAÇÃO,PNBE,1,-,-,2012,-,CALLIS,Lit. Infantojuvenil-Poesia,T
,21600,"GOMES, Antônio Carlos e SCALVINI, Antonio","GUARANI, O",PNBE,1,Ópera em Quadrinhos,-,2013,-,SCIPIONE,HQ,T
,21601,"BRAZ, Júlio Emílio","FALA COMIGO, PAI!",PNBE,1,-,-,2011,-,ROVELLE,Lit. Infantojuvenil - Sentimentos,T
,21602,"SOFIA, Ana e MARIZ, Tatiana","PEDRA DA PRAÇA E OUTRAS HISTÓRIAS DE LIEV TOLSTÓI, A",PNBE,1,-,-,2012,-,ROVELLE,Lit. Infantojuvenil - Contos,T
,21603,ÍNDIGO,"MENINO QUE QUERIA VOAR, O",PNBE,1,Diários Descobertos,-,2010,-,ESCALA INTEGRADA,Lit. Infantojuvenil - Biografia,T
,21604,"AUSLOOS, David",NINA,PNBE,1,-,-,2012,-,COMBOIO DE CORDA,Lit. Infantojuvenil - Sentimentos,T
,21605,"GUIMARÃES ROSA, João e CRUZ, Nelson (ilust.)","MARGENS DA ALEGRIA, AS",PNBE,1,-,-,2010,-,NOVA FRONTEIRA,Lit. Infantojuvenil - Contos,T
,21606,"LOBATO, Monteiro","CHAVE DO TAMANHO, A",PNBE,1,-,-,2012,-,GLOBO KIDS,Lit. Infantojuvenil - Clássicos,T
,21607,"MEYER, Stephenie",ECLIPSE,doação,1,Crepúsculo,-,2009,-,INTRÍNSECA,Literatura Juvenil - Vampiros,T
,21608,"VERNE, Júlio",VIAGEM AO CENTRO DA TERRA,PNBE,1,-,-,2011,-,UNIVERSO LIVRO,Lit. Infantojuvenil - Clássicos,T
,21609,"VERNE, Júlio",FRRITT-FLACC,PNBE,1,-,-,2012,-,PULO DO GATO,Lit. Infantojuvenil - Clássicos,T
,21610,"SILEI, Fabrizio  e QUARELLO, Maurizio","ÔNIBUS DE ROSA, O",PNBE,1,-,2,2012,-,EDIÇÕES SM,Lit. Infantojuvenil - Preconceito ,T
,21611,"PEDROZA, Giba","LENDA DO PREGUIÇOSO E OUTRAS HISTÓRIAS, A",PNBE,1,-,-,2011,-,CORTEZ EDITORA,Contos tradicionais brasileiros,T
,21612,"RIBEIRO, Jonas",TIBURFI: O ÁLBUM DE POESIA DO TIBÚRCIO,PNBE,1,-,-,2011,-,BRINQUE-BOOK,Lit. Infantojuvenil - Vida,T
,21613,"BRANDÃO, Carlos e MATUCK, Rubens",FURUNDUM!,PNBE,1,Ciranda de Letras,5,2013,-,EDITORA AUTORES ASSOCIADOS,Lit. Infantojuvenil - Poesia ,T
,21614,"VILELA, Fernando","HERÓIS DO TSUNAMI, OS",PNBE,1,-,-,2011,-,BRINQUE-BOOK,Lit. Infantojuvenil - Poesia ,T
,21615,"REZENDE, Stella Maris","MOCINHA DO MERCADO CENTRAL, A",PNBE,1,-,-,2011,-,GLOBO,Lit. Infantojuvenil - Vida,T
,21616,"JAF, Ivan",ATRÁS DO PARAÍSO,PNBE,1,-,7,2012,-,JOSÉ OLYMPIO,Lit. Infantojuvenil - História,T
,21617,"VILLORO, Juan","LIVRO SELVAGEM, O",PNBE,1,-,-,2012,-,A PÁGINA,Lit. Infantojuvenil - Aventura,T
,21618,"BARBEAU, Philippe e CINQUIN, Fabienne","CARA, O",PNBE,1,-,-,2012,-,EDITORA UDP,Lit. Infantojuvenil - Sentimentos,T
,21619,"AZEVEDO, Ricardo","LEÃO DA NOITE ESTRELADA, O",PNBE,1,-,-,2012,-,SARAIVA,Lit. Infantojuvenil - Vida,T
,21620,"PIMENTEL, Luís","HOMÃO  E O MENININHO: HISTÓRIAS DE FILHOES E PAIS, O",PNBE,1,-,-,2010,-,ABACATTE,Lit. Infantojuvenil - Pais e filhos,T
,21621,"LIPORAGE, Moisés",TEM UM MORCEGO NO MEU POMBAL,PNBE,1,-,-,2012,-,CATA-SONHO,Lit. Infantojuvenil - Sentimentos,T
,21622,"ORTHOF, Sylvia",SE A MEMÓRIA NÃO ME FALHA,PNBE,1,-,2,2012,-,VIDA MELHOR,Lit. Infantojuvenil - Biografia,T
,21623,"BAGNO, Marcos","MEMÓRIAS DE EUGÊNIA, AS",PNBE,1,-,-,2012,-,POSIGRAF,Lit. Infantojuvenil - História,T
,21624,"AGUIAR, Luiz Antonio [org.]",ERA UMA VEZ À MEIA-NOITE,PNBE,1,-,-,2012,-,BEST SELLER,Lit. Infantojuvenil - Horror e Mistério,T
,21625,"SALES, Herberto", ANTOLOGIA DE CONTOS FOLCLÓRICOS,PNBE,1,-,5,2012,-,EDIOURO,Contos tradicionais brasileiros,T
,21626,"CONY, Carlos Heitor","MELHORES HISTÓRIAS DAS MIL E UMA NOITES, AS",PNBE,1,-,2,2012,-,EDIGRAF,Lit. Infantojuvenil -Contos tradicionais,T
,21627,"TWAIN, Mark ","AVENTURAS DE TOM SAWYER, AS",PNBE,1,Clássicos da Literatura,-,2012,-,MELHORAMENTOS,Lit. Infantojuvenil - Clássicos,T
,21628,"PRIETO, Heloisa","ANITA GARIBALDI, A ESTRELA DA TEMPESTADE",PNBE,1,-,-,2012,-,SOCIEDADE LITERÁRIA,Lit. Infantojuvenil - Biografia,T
,21629,"LACERDA, Nilma",SORTES DE VILLAMOR,PNBE,1,-,2,2013,-,SCIPIONE,Lit. Infantojuvenil - Vida,T
,21630,"LEAR, Edward",VIAGEM NUMA PENEIRA,PNBE,1,-,-,2011,-,ILUMINURAS,Lit. Infantojuvenil-Poesia,T
,21631,"RHEAD, Louis",ROBIN HOOD,PNBE,1,-,2,2011,-,AMARILYS,Lit. Infantojuvenil - Clássicos,T
,21632,"MASSA, Ana Cristina",AQUALTUNE E AS HISTÓRIAS DA ÁFRICA,PNBE,1,-,-,2012,-,GAIVOTA,Lit. Infantojuvenil - África,T
,21633,"TCHAPEK, Karel","FÁBRICA DE ROBÔS, A",PNBE,1,-,-,2012,-,HEDRA EDUCAÇÃO,Teatro,T
,21634,"KIRCHNER, Dan","DIÁRIO DE DAN: DANE-SE!, O",PNBE,1,-,-,2012,-,PLANETA,Lit. Infantojuvenil - Humor,T
,21635,"AMARA, Luigi","AVENTURAS DE MAX E SEU OLHO SUBMARINO, AS",PNBE,1,-,-,2011,-,EDITORA UDP,Lit. Infantojuvenil-Poesia,T
,21636,"NESS, Patrick","CHAMADO DO MONSTRO, O",PNBE,1,Série Z,-,2013,-,ÁTICA,Lit. Infantojuvenil - Horror e Mistério,T
,21637,"ANDERSEN, Hans Christian","PEQUENOS VERDES E OUTRAS HISTÓRIAS, OS",PNBE,1,Os meus clássicos,-,2010,-,BERLENDIS & VERTECCHIA,Contos de fadas,T
,21638,"CLAVER, Ronald",DIÁRIO DO OUTRO,PNBE,1,Entre linhas Adolescência,15,2004,-,SARAIVA,Lit. Infantojuvenil - Vida,T
,21639,"GROSSMAN, David",DUELO,PNBE,1,-,-,2012,-,CLARO ENIGMA,Lit. Infantojuvenil - Sentimentos,T
,21640,"RIOS, Rosana ","ENIGMA DE IRACEMA, O",PNBE,1,Série BR.DOC,-,2012,-,ESCALA INTEGRADA,Lit. Infantojuvenil - Mistério,T
,21641,"QUILT, Linda",HISTÓRIAS ARREPIANTES DE CRIANÇAS-PRODÍGIO,PNBE,1,-,-,2011,-,CIA DAS LETRAS,Lit. Infantojuvenil - Fantasia,T
,21642,"DAHL, Roald","FANTÁSTICA FÁBRICA DE CHOCOLATE, A",PNBE,1,-,5,2011,-,MARTINS FONTES,Lit. Infantojuvenil - Clássicos,T
,21643,"MACHADO, Ana Maria",ISSO NINGUÉM ME TIRA,PNBE,1,Ana Maria Machado,-,2013,-,ÁTICA,Lit. Infantojuvenil - Amor,T
,21644,"TELLES, Lygia Fagundes",HISTÓRIAS DE MISTÉRIO,PNBE,1,-,-,2011,-,CIA DAS LETRAS,Contos brasileiros - Mistério,T
,21645,"JÚNIOR, Otávio","LIVREIRO DO ALEMÃO, O",PNBE,1,-,-,2011,-,GUIA DOS CURIOSOS COMUNICAÇÕES,Lit. Infantojuvenil - Leitura,T
,21646,"AGOSTINHO, Cristina e COELHO, Ronaldo Simões",RAPUNZEL E O QUIBUNGO,SME,4,-,-,2012,-,MAZZA EDIÇÕES LTDA,Lit. Infantojuvenil - África,T
,21647,"SOLER-PONT, Anna","PRÍNCIPE MEDROSO E OUTROS CONTOS AFRICANOS, o",SME,4,-,-,2009,-,CIA DAS LETRAS,Contos folclóricos africanos,T
,21648,"TORRÈS, Dominique",VOCÊ É LIVRE!,SME,4,-,-,2012,-,AUTÊNTICA,Lit. Infantojuvenil - Aventura,T
,21649,"VIEIRA, José Luandino","CIDADE E A INFÂNCIA, A",SME,4,-,-,2007,-,CIA DAS LETRAS,Contos africanos,T
,21650,"MACHADO, Ana Maria",DO OUTRO LADO TEM SEGREDOS,SME,4,-,-,2013,-,OBJETIVA,Lit. Infantojuvenil - Pluralidade Cultural,T
,21651,"BARBOSA, Rogério Andrade","KALAHARI, UMA AVENTURA NO DESERTO AFRICANO",SME,4,Biblioteca Juvenil,-,2009,-,MELHORAMENTOS,Lit. Infantojuvenil - Aventura,T
,21652,"RUBINSTEIN, Andi e MONTEIRO, Madalena",FILHO DO CAÇADOR E OUTRAS HISTÓRIAS-DILEMA DA ÁFRICA,SME,4,-,-,2013,-,PANDA BOOKS,Contos folclóricos africanos,T
,21653,"CUNHA, Carolina",MESTRE GATO E COMADRE ONÇA (livro + cd),SME,4,Cantos do Mundo,-,2011,-,EDIÇÕES SM,Lit. Infantojuvenil - Capoeira,T
,21654,"CAMPOS, Carmen Lúcia",MEU AVÔ AFRICANO,SME,4,Imigrantes do Brasil,-,2010,-,PANDA BOOKS,Lit. Infantojuvenil - Pluralidade Cultural,T
,21655,"OLIVEIRA, Kiusan de","MUNDO BLACK POWER DE TAYÓ, O ",SME,4,-,-,2013,-,PEIRÓPOLIS,Lit. Infantojuvenil - Pluralidade Cultural,T
,21656,"SANTOS, Jorge Fernando dos","CORES DO MUNDO DE LÚCIA, AS",SME,4,Arteletra,-,2010,-,PAULUS,Lit. Infantojuvenil - Pluralidade Cultural,T
,21657,"GOMES, Nilma Lino",BETINA,SME,4,-,-,2009,-,MAZZA EDIÇÕES LTDA,Lit. Infantojuvenil - autoestima,T
,21658,"PRÉVOT, Franck","WANGARI MAATHAI, A MULHER QUE PLANTOU MILHOES DE ÁRVORES",SME,4,-,2,2014,-,GALERINHA RECORD,Lit. Infantojuvenil - Biografia,T
,21659,"KUCINSKI, Bernardo",K. - RELATO DE UMA BUSCA,SME,2,-,-,2014,-,COSAC NAIFY,História do Brasil - Ditadura Militar,T
,21660,"GOMES, Marcos Emílio","CONSTITUIÇÃO DE 1988, 25 ANOS DEPOIS, A",SME,2,-,-,2013,-,INSTITUTO VLADIMIR HERZOG,História do Brasil - Ditadura Militar,T
,21661,"SÃO PAULO, CÂMARA MUNICIPAL",COMISSÃO MUNICIPAL DA VERDADE VLADIMIR HERZOG: RELATÓRIO FINAL,SME,2,-,-,2013,-,IMPRENSA OFICIAL DO ESTADO,História do Brasil - Ditadura Militar,T
2014-01-12,21662,"NEVES, Ana Maria Bergamin",INTERAÇÕES: RAÍZES HISTÓRICAS BRASILEIRAS,PNBE,3,InterAções,-,2012,-,BLUCHER,História do Brasil,T
2014-01-12,21663,"CAMPOS, Helena Guimarães","HISTÓRIA E A FORMAÇÃO PARA A CIDADANIA NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL, A",PNBE,3,-,-,2012,-,SARAIVA,História - Cidadania,T
2014-01-12,21664,"SILVA, Marcos e PORTO, Amélia",NAS TRILHAS DO ENSINO DE HISTÓRIA: teoria e prática,PNBE,3,-,-,2012,-,RONA,História - Estudo e Ensino,T
