Tombo,Registro,Autor,Título,Procedencia,Exemplar,Coleção,Edição,Ano,Volume,Editora,Categorias,aquisicao
2010-10-11,20544,"SAKAI, Stan",USAGI YOJIMBO: DAISHO,PNBE,1,-,2a.,2010,-,DEVIR,HQ,T
2010-10-11,20545,"NEVES, André",CAPITÃO E A SEREIA,PNBE,1,-,-,2007,-,SCIPIONE,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20546,"TCHEKHOV, Anton",KACHTANKA,PNBE,1,-,2a.,2008,-,COSACNAIFY,Contos infantis - Animais,T
2010-10-11,20547,"L`HOMME, Erik",CONTOS DE UM REINO PERDIDO,PNBE,1,Cantos do Mundo,-,2008,-,EDIÇÕES SM,Contos tradicionais paquistaneses,T
2010-10-11,20548,"SINGH, Rina e CANN, Helen",FLORESTA DE HISTÓRIAS: Contos de árvores mágicas do mundo todo,PNBE,1,-,-,2008,-,WMF MARTINS FONTES,Contos tradicionais,T
2010-10-11,20549,"HIRATSUKA, Lúcia",HISTÓRIAS DE MUKASHI: Contos populares do Japão,PNBE,1,-,-,2007,-,ELEMENTAR,Contos tradicionais japoneses,T
2010-10-11,20550,"CASTANHA, Marilda",PINDORAMA: TERRA DAS PALMEIRAS,PNBE,1,-,2a.,2008,-,COSACNAIFY,Cultura e História do Brasil,T
2010-10-11,20551,"VIANA, Vivina de Assis","JOGO DO PENSAMENTO, O",PNBE,1,-,2a.,2009,-,GERAÇÃO EDITORIAL,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20552,"CRUZ, Nelson",BÁRBARA E ALVARENGA,PNBE,1,-,2a.,2008,-,COSACNAIFY,Lit. Infantojuvenil - biografia,T
2010-10-11,20553,"LESSA, Orígenes",MEMÓRIAS DE UM CABO DE VASSOURA,PNBE,1,-,45a.,2008,-,PIXEL,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20554,"MÁRQUEZ, Gabriel Garcia e VENDRELL, C.","LUZ É COMO A ÁGUA, A",PNBE,1,-,3a.,2008,-,CIVILIZAÇÃO BRASILEIRA,Lit. Infantojuvenil - Sentimentos,T
2010-10-11,20555,"CRUZ, Nelson",CHICA E JOÃO,PNBE,1,-,2a.,2008,-,COSACNAIFY,Lit. Infantojuvenil - biografia,T
2010-10-11,20556,"MOULIN, Nilson e MATUCK, Rubens",LEONARDO DESDE VINCI,PNBE,1,-,2a.,2007,-,CORTEZ,Lit. Infantojuvenil - biografia,T
2010-10-11,20557,"MACHADO, Ana Maria",PALMAS PARA JOÃO CRISTIANO: de Ana Maria Machado para Hans Christian Andersen,PNBE,1,-,-,2004,-,MERCURYO JOVEM,Lit. Infantojuvenil - biografia,T
2010-10-11,20558,"SHAKESPEARE, W. e CAMPOS, Paulo Mendes (adap.)",CONTOS DE SHAKESPEARE,PNBE,1,-,9.a,2006,-,PIXEL,Clássicos - Teatro,T
2010-10-11,20559,"VERNE, Júlio","VOLTA AO MUNDO EM 80 DIAS, A",PNBE,1,-,-,2005,-,DCL,Clássicos - Aventura,T
2010-10-11,20560,"CORALINA, Cora",VILLA BOA DE GOYAZ,PNBE,1,-,3a.,2008,-,GAIA,Poesia Brasileira,T
2010-10-11,20561,"HUGO, Victor e VIANA, Klévisson (adap.)","MISERÁVEIS, OS",PNBE,1,Clássicos em Cordel,-,2008,-,NOVA ALEXANDRIA,Poesia - Cordel,T
2010-11-11,20562,"SOMBRA, Fábio","PELEJA DO VIOLEIRO MAGRILIM COM A FORMOSA PRINCESA JEZEBEL, A",PNBE,1,-,-,2008,-,LÊ,Poesia - Cordel,T
2010-11-11,20563,"MENDONÇA, Bernardo de",JOGO DE ADIVINHAR BICHO INVISÍVEL,PNBE,1,-,-,2004,-,GRAPHIA,Poesia Infantojuvenil,T
2010-11-11,20564,"QUINTANA, Mário","APRENDIZ DE FEITICEIRO, O",PNBE,1,Mário Quintana,2a.,2005,-,GLOBO LIVROS,Poesia em prosa,T
2010-11-11,20565,"QUEIRÓS, Bartolomeu Campos de",ANTES DO DEPOIS,PNBE,1,-,-,2006,-,MANATI,Lit. Infantojuvenil - Infância e Adolescência,T
2010-11-11,20566,"PONTES, João","MOEDA DO IMPERADOR, A",PNBE,1,-,-,2002,-,ALIS,Lit. Infantojuvenil - História,T
